mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02640872001647949,0.0008957418368608314,0.004106855392456055,0.0005434112826122857,5,50,"{'max_depth': 5, 'max_features': 50}",0.53125,0.546875,0.5078125,0.5703125,0.53125,0.5375,0.020610790559801438,40
0.028413963317871094,0.0006438910565817278,0.003997182846069336,3.2044592337705076e-05,5,100,"{'max_depth': 5, 'max_features': 100}",0.6015625,0.6328125,0.5078125,0.5546875,0.53125,0.565625,0.04571480886977435,29
0.030425596237182616,0.0005136845978632214,0.0036681652069091796,0.0005684414062582173,5,250,"{'max_depth': 5, 'max_features': 250}",0.625,0.5234375,0.59375,0.5234375,0.578125,0.56875,0.039958474539201316,27
0.03511500358581543,0.0006022300212360943,0.0040433406829833984,9.561887019821397e-05,5,500,"{'max_depth': 5, 'max_features': 500}",0.6171875,0.5234375,0.5546875,0.546875,0.5625,0.5609375,0.031014739439498763,33
0.04324502944946289,0.0007919544655707119,0.003973627090454101,0.00030260698442727637,5,1000,"{'max_depth': 5, 'max_features': 1000}",0.59375,0.5234375,0.5546875,0.546875,0.4765625,0.5390625,0.038590903235088965,39
0.06078033447265625,0.0021209041538398283,0.003936481475830078,0.0003139706522870923,5,2000,"{'max_depth': 5, 'max_features': 2000}",0.59375,0.6015625,0.6171875,0.53125,0.5546875,0.5796875,0.031792171795899694,22
0.08001985549926757,0.0042409806072360124,0.004108619689941406,0.00024786123911696244,5,3000,"{'max_depth': 5, 'max_features': 3000}",0.5859375,0.609375,0.6015625,0.578125,0.5859375,0.5921875,0.011481983169296146,16
0.09256525039672851,0.004582441285652329,0.004456043243408203,0.0004206527307107472,5,4000,"{'max_depth': 5, 'max_features': 4000}",0.640625,0.5859375,0.5625,0.578125,0.578125,0.5890625,0.026882266459508208,18
0.11219553947448731,0.0046319557442059825,0.004177761077880859,0.0003788179196673421,5,5000,"{'max_depth': 5, 'max_features': 5000}",0.6171875,0.609375,0.578125,0.59375,0.5390625,0.5875,0.02768757054167086,19
0.16455001831054689,0.010903597432639644,0.004185628890991211,0.00039388669846933215,5,8829,"{'max_depth': 5, 'max_features': 8829}",0.6171875,0.6640625,0.5546875,0.5390625,0.609375,0.596875,0.045177600921253,12
0.024144411087036133,0.00023174035694985214,0.003991460800170899,3.3245707674075425e-05,7,10,"{'max_depth': 7, 'max_features': 10}",0.515625,0.5390625,0.5703125,0.5234375,0.5078125,0.53125,0.02209708691207961,42
0.024563980102539063,0.0005589541508342353,0.0038048744201660155,0.00036873273267076356,7,15,"{'max_depth': 7, 'max_features': 15}",0.5,0.5390625,0.546875,0.53125,0.5,0.5234375,0.01976423537605237,46
0.02551116943359375,0.000596835064846128,0.003576993942260742,0.00048127599810873594,7,25,"{'max_depth': 7, 'max_features': 25}",0.5234375,0.546875,0.5546875,0.53125,0.5703125,0.5453125,0.016682934768798924,37
0.025827360153198243,0.0007290005152697962,0.003591108322143555,0.00048363149474598685,7,50,"{'max_depth': 7, 'max_features': 50}",0.5625,0.5546875,0.5703125,0.59375,0.5,0.55625,0.031014739439498763,34
0.027549934387207032,0.0004941526853550063,0.0037821292877197265,0.0003999993799013023,7,100,"{'max_depth': 7, 'max_features': 100}",0.6328125,0.59375,0.609375,0.5078125,0.515625,0.571875,0.05072713462733727,24
0.031682729721069336,0.0004854695945173245,0.00379033088684082,0.0004007612894944691,7,250,"{'max_depth': 7, 'max_features': 250}",0.5546875,0.5546875,0.578125,0.5546875,0.5859375,0.565625,0.013621559198564604,29
0.037560319900512694,0.0006475344777854897,0.003972530364990234,1.9059772329585992e-05,7,500,"{'max_depth': 7, 'max_features': 500}",0.5625,0.6171875,0.5859375,0.5859375,0.6171875,0.59375,0.02096313728906053,14
0.049970817565917966,0.0020149364666439164,0.004096841812133789,0.00022709845114909628,7,1000,"{'max_depth': 7, 'max_features': 1000}",0.5859375,0.609375,0.546875,0.6171875,0.578125,0.5875,0.024902152266420667,19
0.07254395484924317,0.0025468279128766664,0.004057121276855469,0.00014283652099458238,7,2000,"{'max_depth': 7, 'max_features': 2000}",0.640625,0.6171875,0.546875,0.6171875,0.5859375,0.6015625,0.03240068961457456,10
